2015-05-06 17:09:14,508 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 89 
2015-05-06 17:09:14,508 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 89 
2015-05-06 17:09:14,509 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 88 
2015-05-06 17:09:14,509 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 88 
2015-05-06 17:09:14,509 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 88 
2015-05-06 17:09:14,509 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 88 
2015-05-06 17:09:14,510 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 87 
2015-05-06 17:09:14,510 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 87 
2015-05-06 17:09:14,510 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 87 
2015-05-06 17:09:14,510 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 87 
2015-05-06 17:09:14,511 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 86 
2015-05-06 17:09:14,511 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 86 
2015-05-06 17:09:14,511 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 86 
2015-05-06 17:09:14,511 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 86 
2015-05-06 17:09:14,512 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 85 
2015-05-06 17:09:14,512 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 85 
2015-05-06 17:09:14,512 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 85 
2015-05-06 17:09:14,512 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 85 
2015-05-06 17:09:14,513 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 84 
2015-05-06 17:09:14,513 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 84 
2015-05-06 17:09:14,513 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 84 
2015-05-06 17:09:14,513 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 84 
2015-05-06 17:09:14,514 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 83 
2015-05-06 17:09:14,514 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 83 
2015-05-06 17:09:14,514 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 83 
2015-05-06 17:09:14,514 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 83 
2015-05-06 17:09:14,515 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 82 
2015-05-06 17:09:14,515 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 82 
2015-05-06 17:09:14,515 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 82 
2015-05-06 17:09:14,515 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 82 
2015-05-06 17:09:14,516 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 81 
2015-05-06 17:09:14,516 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 81 
2015-05-06 17:09:14,516 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 81 
2015-05-06 17:09:14,516 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 81 
2015-05-06 17:09:14,517 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 80 
